Status_checking,Duration,Credit_history,Purpose,Credit_amount,Savings,Employment,Installment_rate,Personal_status,Other_debtors,Residence_since,Property,Age,Other_installment_plans,Housing,Number_existing_credits,Job,Number_people_liable,Telephone,Foreign_worker
No checking account,30,Existing credits paid back duly till now,Radio / television,2333,500 <= savings < 1000 DM,>= 7 years,4,Male: single,,2,Car or other (not savings),30,Bank,Own,1,Highly skilled,1,,Yes
No checking account,12,Critical account / other credits existing,Education,2012,Unknown / no savings,4 <= employment < 7 years,4,Female: divorced/separated/married,,2,Car or other (not savings),61,,Own,1,Skilled,1,,Yes
No checking account,12,Critical account / other credits existing,Business,1185,< 100 DM,1 <= employment < 4 years,3,Female: divorced/separated/married,,2,Real estate,27,,Own,2,Skilled,1,,Yes
0 <= balance < 200 DM,24,Existing credits paid back duly till now,Car (new),2718,< 100 DM,1 <= employment < 4 years,3,Female: divorced/separated/married,,4,Building society savings / life insurance,20,,Rent,1,Unskilled non-resident,1,"Yes, registered",Yes
0 <= balance < 200 DM,12,Critical account / other credits existing,Car (new),958,< 100 DM,4 <= employment < 7 years,2,Male: single,,3,Real estate,47,,Own,2,Unskilled non-resident,2,,Yes
0 <= balance < 200 DM,12,Existing credits paid back duly till now,Car (new),1223,< 100 DM,>= 7 years,1,Male: divorced/separated,,1,Real estate,46,,Rent,2,Skilled,1,,Yes
< 0 DM,9,Critical account / other credits existing,Car (new),2799,< 100 DM,1 <= employment < 4 years,2,Male: single,,2,Real estate,36,,Rent,2,Skilled,2,,Yes
0 <= balance < 200 DM,36,Delay in paying off in the past,Business,4455,< 100 DM,1 <= employment < 4 years,2,Male: divorced/separated,,2,Real estate,30,Stores,Own,2,Highly skilled,1,"Yes, registered",Yes
< 0 DM,24,Existing credits paid back duly till now,Car (used),2910,< 100 DM,4 <= employment < 7 years,2,Male: single,,1,Unknown / no property,34,,For free,1,Highly skilled,1,"Yes, registered",Yes
0 <= balance < 200 DM,18,Existing credits paid back duly till now,Furniture / equipment,1924,Unknown / no savings,< 1 year,4,Female: divorced/separated/married,,3,Real estate,27,,Rent,1,Skilled,1,,Yes
>= 200 DM / salary assigned >= 1 year,24,Existing credits paid back duly till now,Radio / television,1377,100 <= savings < 500 DM,>= 7 years,4,Female: divorced/separated/married,,2,Unknown / no property,47,,For free,1,Skilled,1,"Yes, registered",Yes
< 0 DM,18,Existing credits paid back duly till now,Car (new),2249,100 <= savings < 500 DM,4 <= employment < 7 years,4,Male: single,,3,Car or other (not savings),30,,Own,1,Highly skilled,2,"Yes, registered",Yes
< 0 DM,42,Existing credits paid back duly till now,Furniture / equipment,7882,< 100 DM,4 <= employment < 7 years,2,Male: single,Guarantor,4,Building society savings / life insurance,45,,For free,1,Skilled,2,,Yes
0 <= balance < 200 DM,12,Existing credits paid back duly till now,Radio / television,1158,500 <= savings < 1000 DM,1 <= employment < 4 years,3,Male: divorced/separated,,1,Car or other (not savings),26,,Own,1,Skilled,1,"Yes, registered",Yes
No checking account,27,Existing credits paid back duly till now,Car (new),2570,< 100 DM,1 <= employment < 4 years,3,Female: divorced/separated/married,,3,Real estate,21,,Rent,1,Skilled,1,,Yes
< 0 DM,18,Critical account / other credits existing,Radio / television,1880,< 100 DM,4 <= employment < 7 years,4,Male: married/widowed,,1,Building society savings / life insurance,32,,Own,2,Highly skilled,1,"Yes, registered",Yes
No checking account,36,Critical account / other credits existing,Car (new),6614,< 100 DM,>= 7 years,4,Male: single,,4,Car or other (not savings),34,,Own,2,Highly skilled,1,"Yes, registered",Yes
0 <= balance < 200 DM,12,Existing credits paid back duly till now,Furniture / equipment,3017,< 100 DM,< 1 year,3,Female: divorced/separated/married,,1,Real estate,34,,Rent,1,Highly skilled,1,,Yes
No checking account,24,Existing credits paid back duly till now,Radio / television,1901,100 <= savings < 500 DM,1 <= employment < 4 years,4,Male: single,,4,Car or other (not savings),29,,Rent,1,Highly skilled,1,"Yes, registered",Yes
< 0 DM,18,Existing credits paid back duly till now,Radio / television,1345,< 100 DM,1 <= employment < 4 years,4,Male: married/widowed,,3,Real estate,26,Bank,Own,1,Skilled,1,,Yes
>= 200 DM / salary assigned >= 1 year,15,Existing credits paid back duly till now,Education,392,< 100 DM,< 1 year,4,Female: divorced/separated/married,,4,Building society savings / life insurance,23,,Rent,1,Skilled,1,"Yes, registered",Yes
No checking account,6,Existing credits paid back duly till now,Car (new),672,< 100 DM,Unemployed,1,Female: divorced/separated/married,,4,Real estate,54,,Own,1,Unemployed / unskilled resident,1,"Yes, registered",Yes
No checking account,15,Critical account / other credits existing,Radio / television,1471,< 100 DM,1 <= employment < 4 years,4,Male: single,,4,Unknown / no property,35,,For free,2,Skilled,1,"Yes, registered",Yes
No checking account,24,Existing credits paid back duly till now,Car (new),1525,>= 1000 DM,4 <= employment < 7 years,4,Female: divorced/separated/married,,3,Car or other (not savings),34,,Own,1,Skilled,2,"Yes, registered",Yes
No checking account,48,Delay in paying off in the past,Radio / television,12749,500 <= savings < 1000 DM,4 <= employment < 7 years,4,Male: single,,1,Car or other (not savings),37,,Own,1,Highly skilled,1,"Yes, registered",Yes
< 0 DM,12,Existing credits paid back duly till now,Furniture / equipment,1858,< 100 DM,< 1 year,4,Female: divorced/separated/married,,1,Car or other (not savings),22,,Rent,1,Skilled,1,,Yes
No checking account,36,Critical account / other credits existing,Car (used),5842,< 100 DM,>= 7 years,2,Male: single,,2,Building society savings / life insurance,35,,Own,2,Skilled,2,"Yes, registered",Yes
No checking account,10,Existing credits paid back duly till now,Car (used),2848,100 <= savings < 500 DM,1 <= employment < 4 years,1,Male: single,Co-applicant,2,Real estate,32,,Own,1,Skilled,2,,Yes
0 <= balance < 200 DM,18,Existing credits paid back duly till now,Car (new),1042,Unknown / no savings,1 <= employment < 4 years,4,Female: divorced/separated/married,,2,Building society savings / life insurance,33,,Own,1,Skilled,1,,Yes
No checking account,9,Existing credits paid back duly till now,Furniture / equipment,1388,< 100 DM,1 <= employment < 4 years,4,Female: divorced/separated/married,,2,Real estate,26,,Rent,1,Skilled,1,,Yes
< 0 DM,12,Critical account / other credits existing,Car (used),1526,< 100 DM,>= 7 years,4,Male: single,,4,Unknown / no property,66,,For free,2,Highly skilled,1,,Yes
No checking account,18,Critical account / other credits existing,Furniture / equipment,1817,< 100 DM,1 <= employment < 4 years,4,Female: divorced/separated/married,,2,Unknown / no property,28,,Own,2,Skilled,1,,Yes
No checking account,36,Critical account / other credits existing,Car (new),7855,< 100 DM,1 <= employment < 4 years,4,Female: divorced/separated/married,,2,Real estate,25,Stores,Own,2,Skilled,1,"Yes, registered",Yes
0 <= balance < 200 DM,30,No credits taken / all credits paid back duly,Business,4280,100 <= savings < 500 DM,1 <= employment < 4 years,4,Female: divorced/separated/married,,4,Car or other (not savings),26,,Rent,2,Unskilled non-resident,1,,Yes
No checking account,4,Critical account / other credits existing,Car (new),3380,< 100 DM,4 <= employment < 7 years,1,Female: divorced/separated/married,,1,Real estate,37,,Own,1,Skilled,2,,Yes
< 0 DM,6,Existing credits paid back duly till now,Car (new),662,< 100 DM,< 1 year,3,Male: single,,4,Real estate,41,,Own,1,Unskilled non-resident,2,"Yes, registered",Yes
No checking account,12,Existing credits paid back duly till now,Furniture / equipment,1736,< 100 DM,4 <= employment < 7 years,3,Female: divorced/separated/married,,4,Real estate,31,,Own,1,Unskilled non-resident,1,,Yes
< 0 DM,21,Delay in paying off in the past,Education,3414,< 100 DM,< 1 year,2,Male: single,,1,Building society savings / life insurance,26,,Own,2,Skilled,1,,Yes
No checking account,12,Existing credits paid back duly till now,Car (new),1101,< 100 DM,1 <= employment < 4 years,3,Male: married/widowed,,2,Real estate,27,,Own,2,Skilled,1,"Yes, registered",Yes
No checking account,6,Existing credits paid back duly till now,Furniture / equipment,1766,< 100 DM,1 <= employment < 4 years,1,Male: married/widowed,,2,Building society savings / life insurance,21,,Rent,1,Skilled,1,,Yes
No checking account,7,Delay in paying off in the past,Radio / television,846,Unknown / no savings,>= 7 years,3,Male: single,,4,Unknown / no property,36,,For free,1,Skilled,1,,Yes
0 <= balance < 200 DM,9,Existing credits paid back duly till now,Furniture / equipment,918,< 100 DM,1 <= employment < 4 years,4,Female: divorced/separated/married,,1,Building society savings / life insurance,30,,Own,1,Skilled,1,,Yes
No checking account,24,Existing credits paid back duly till now,Furniture / equipment,3062,500 <= savings < 1000 DM,>= 7 years,4,Male: single,,3,Unknown / no property,32,,Rent,1,Skilled,1,"Yes, registered",Yes
0 <= balance < 200 DM,36,No credits taken / all credits paid back duly,Business,1953,< 100 DM,>= 7 years,4,Male: single,,4,Unknown / no property,61,,For free,1,Highly skilled,1,"Yes, registered",Yes
< 0 DM,21,Existing credits paid back duly till now,Car (new),3763,Unknown / no savings,4 <= employment < 7 years,2,Male: single,Co-applicant,2,Real estate,24,,Own,1,Unskilled non-resident,1,,No
0 <= balance < 200 DM,18,Existing credits paid back duly till now,Business,4439,< 100 DM,>= 7 years,1,Male: single,Co-applicant,1,Real estate,33,Bank,Own,1,Highly skilled,1,"Yes, registered",Yes
< 0 DM,24,Existing credits paid back duly till now,Radio / television,1987,< 100 DM,1 <= employment < 4 years,2,Male: single,,4,Real estate,21,,Rent,1,Unskilled non-resident,2,,Yes
< 0 DM,18,Existing credits paid back duly till now,Furniture / equipment,4153,< 100 DM,1 <= employment < 4 years,2,Male: single,Co-applicant,3,Car or other (not savings),42,,Own,1,Skilled,1,,Yes
No checking account,21,Delay in paying off in the past,Furniture / equipment,1591,100 <= savings < 500 DM,4 <= employment < 7 years,4,Male: single,,3,Real estate,34,,Own,2,Highly skilled,1,,Yes
< 0 DM,8,Critical account / other credits existing,Others,1164,< 100 DM,>= 7 years,3,Male: single,,4,Unknown / no property,51,Bank,For free,2,Highly skilled,2,"Yes, registered",Yes
0 <= balance < 200 DM,9,Existing credits paid back duly till now,Radio / television,1206,< 100 DM,>= 7 years,4,Female: divorced/separated/married,,4,Real estate,25,,Own,1,Skilled,1,,Yes
No checking account,24,Critical account / other credits existing,Car (used),3868,< 100 DM,>= 7 years,4,Female: divorced/separated/married,,2,Car or other (not savings),41,,Rent,2,Highly skilled,1,"Yes, registered",Yes
< 0 DM,48,Existing credits paid back duly till now,Radio / television,6758,< 100 DM,1 <= employment < 4 years,3,Female: divorced/separated/married,,2,Car or other (not savings),31,,Own,1,Skilled,1,"Yes, registered",Yes
0 <= balance < 200 DM,20,No credits taken / all credits paid back duly,Car (used),6148,100 <= savings < 500 DM,>= 7 years,3,Male: married/widowed,,4,Car or other (not savings),31,Bank,Own,2,Skilled,1,"Yes, registered",Yes
0 <= balance < 200 DM,24,Delay in paying off in the past,Radio / television,1553,100 <= savings < 500 DM,4 <= employment < 7 years,3,Female: divorced/separated/married,,2,Building society savings / life insurance,23,,Rent,2,Skilled,1,"Yes, registered",Yes
No checking account,24,Existing credits paid back duly till now,Car (used),2603,>= 1000 DM,1 <= employment < 4 years,2,Female: divorced/separated/married,,4,Car or other (not savings),28,,Rent,1,Skilled,1,"Yes, registered",Yes
0 <= balance < 200 DM,18,Critical account / other credits existing,Furniture / equipment,3612,< 100 DM,>= 7 years,3,Female: divorced/separated/married,,4,Building society savings / life insurance,37,,Own,1,Skilled,1,"Yes, registered",Yes
No checking account,30,Critical account / other credits existing,Radio / television,6742,Unknown / no savings,4 <= employment < 7 years,2,Male: single,,3,Building society savings / life insurance,36,,Own,2,Skilled,1,,Yes
No checking account,36,Existing credits paid back duly till now,Furniture / equipment,10974,< 100 DM,Unemployed,4,Female: divorced/separated/married,,2,Car or other (not savings),26,,Own,2,Highly skilled,1,"Yes, registered",Yes
No checking account,6,Critical account / other credits existing,Radio / television,1740,< 100 DM,>= 7 years,2,Male: married/widowed,,2,Real estate,30,,Rent,2,Skilled,1,,Yes
< 0 DM,10,Critical account / other credits existing,Car (new),1038,< 100 DM,4 <= employment < 7 years,4,Male: single,Co-applicant,3,Building society savings / life insurance,49,,Own,2,Skilled,1,"Yes, registered",Yes
< 0 DM,18,Delay in paying off in the past,Education,8471,Unknown / no savings,1 <= employment < 4 years,1,Female: divorced/separated/married,,2,Car or other (not savings),23,,Rent,2,Skilled,1,"Yes, registered",Yes
< 0 DM,12,Existing credits paid back duly till now,Radio / television,1107,< 100 DM,1 <= employment < 4 years,2,Male: single,,2,Real estate,20,,Rent,1,Highly skilled,2,"Yes, registered",Yes
< 0 DM,12,No credits taken / all credits paid back duly,Radio / television,6199,< 100 DM,1 <= employment < 4 years,4,Male: single,,2,Building society savings / life insurance,28,,Rent,2,Skilled,1,"Yes, registered",Yes
No checking account,12,Critical account / other credits existing,Radio / television,1934,< 100 DM,>= 7 years,2,Male: single,,2,Unknown / no property,26,,Own,2,Skilled,1,,Yes
< 0 DM,24,Critical account / other credits existing,Radio / television,1231,>= 1000 DM,>= 7 years,4,Female: divorced/separated/married,,4,Building society savings / life insurance,57,,Rent,2,Highly skilled,1,"Yes, registered",Yes
No checking account,6,Critical account / other credits existing,Radio / television,1237,100 <= savings < 500 DM,1 <= employment < 4 years,1,Female: divorced/separated/married,,1,Building society savings / life insurance,27,,Own,2,Skilled,1,,Yes
0 <= balance < 200 DM,10,Existing credits paid back duly till now,Car (new),7308,< 100 DM,Unemployed,2,Male: single,,4,Unknown / no property,70,Bank,For free,1,Highly skilled,1,"Yes, registered",Yes
No checking account,12,Existing credits paid back duly till now,Business,1076,< 100 DM,1 <= employment < 4 years,2,Male: married/widowed,,2,Real estate,26,,Own,1,Skilled,1,"Yes, registered",No
0 <= balance < 200 DM,48,Existing credits paid back duly till now,Radio / television,10961,>= 1000 DM,4 <= employment < 7 years,1,Male: single,Co-applicant,2,Unknown / no property,27,Bank,Own,2,Skilled,1,"Yes, registered",Yes
< 0 DM,18,Critical account / other credits existing,Furniture / equipment,2124,< 100 DM,1 <= employment < 4 years,4,Female: divorced/separated/married,,4,Real estate,24,,Rent,2,Skilled,1,,Yes
No checking account,18,Critical account / other credits existing,Car (new),1055,< 100 DM,< 1 year,4,Female: divorced/separated/married,,1,Building society savings / life insurance,30,,Own,2,Skilled,1,,Yes
< 0 DM,12,Existing credits paid back duly till now,Retraining,902,< 100 DM,4 <= employment < 7 years,4,Male: married/widowed,,4,Building society savings / life insurance,21,,Rent,1,Skilled,1,,Yes
0 <= balance < 200 DM,48,No credits taken / all credits paid back duly,Car (new),8358,500 <= savings < 1000 DM,< 1 year,1,Female: divorced/separated/married,,1,Car or other (not savings),30,,Own,2,Skilled,1,,Yes
No checking account,18,Existing credits paid back duly till now,Radio / television,433,< 100 DM,Unemployed,3,Female: divorced/separated/married,Co-applicant,4,Real estate,22,,Rent,1,Skilled,1,,Yes
No checking account,12,Existing credits paid back duly till now,Radio / television,2279,Unknown / no savings,1 <= employment < 4 years,4,Male: single,,4,Unknown / no property,37,,For free,1,Skilled,1,"Yes, registered",Yes
< 0 DM,12,Existing credits paid back duly till now,Furniture / equipment,1262,Unknown / no savings,>= 7 years,2,Male: divorced/separated,,4,Building society savings / life insurance,49,,Own,1,Unskilled non-resident,1,"Yes, registered",Yes
< 0 DM,48,Critical account / other credits existing,Car (used),6331,< 100 DM,>= 7 years,4,Male: single,,4,Unknown / no property,46,,For free,2,Skilled,1,"Yes, registered",Yes
< 0 DM,36,Existing credits paid back duly till now,Education,1977,Unknown / no savings,>= 7 years,4,Male: single,,4,Unknown / no property,40,,Own,1,Highly skilled,1,"Yes, registered",Yes
No checking account,24,Delay in paying off in the past,Business,2978,Unknown / no savings,1 <= employment < 4 years,4,Male: single,,4,Real estate,32,,Own,2,Skilled,2,"Yes, registered",Yes
No checking account,30,Delay in paying off in the past,Business,4272,100 <= savings < 500 DM,1 <= employment < 4 years,2,Male: single,,2,Building society savings / life insurance,26,,Own,2,Unskilled non-resident,1,,Yes
0 <= balance < 200 DM,24,Critical account / other credits existing,Radio / television,1216,100 <= savings < 500 DM,< 1 year,4,Male: single,,4,Unknown / no property,38,Bank,Own,2,Skilled,2,,Yes
< 0 DM,21,All credits at this bank paid back duly,Car (new),1647,Unknown / no savings,1 <= employment < 4 years,4,Male: single,,2,Building society savings / life insurance,40,,Own,2,Unskilled non-resident,2,,Yes
No checking account,21,Existing credits paid back duly till now,Car (used),2476,Unknown / no savings,>= 7 years,4,Male: single,,4,Real estate,46,,Own,1,Highly skilled,1,"Yes, registered",Yes
No checking account,28,All credits at this bank paid back duly,Car (used),7824,Unknown / no savings,< 1 year,3,Male: single,Guarantor,4,Real estate,40,Bank,Rent,2,Skilled,2,"Yes, registered",Yes
< 0 DM,24,Existing credits paid back duly till now,Car (new),1371,Unknown / no savings,1 <= employment < 4 years,4,Female: divorced/separated/married,,4,Real estate,25,,Rent,1,Skilled,1,,Yes
No checking account,36,Delay in paying off in the past,Business,9572,< 100 DM,< 1 year,1,Male: divorced/separated,,1,Car or other (not savings),28,,Own,2,Skilled,1,,Yes
No checking account,15,Existing credits paid back duly till now,Furniture / equipment,2708,< 100 DM,< 1 year,2,Male: single,,3,Building society savings / life insurance,27,Bank,Own,2,Unskilled non-resident,1,,Yes
No checking account,24,Critical account / other credits existing,Radio / television,1516,>= 1000 DM,1 <= employment < 4 years,4,Female: divorced/separated/married,,1,Real estate,43,,Own,2,Unskilled non-resident,1,,Yes
< 0 DM,30,Existing credits paid back duly till now,Furniture / equipment,3108,< 100 DM,< 1 year,2,Male: divorced/separated,,4,Building society savings / life insurance,31,,Own,1,Unskilled non-resident,1,,Yes
0 <= balance < 200 DM,9,Existing credits paid back duly till now,Radio / television,458,< 100 DM,1 <= employment < 4 years,4,Male: single,,3,Real estate,24,,Own,1,Skilled,1,,Yes
0 <= balance < 200 DM,42,Critical account / other credits existing,Business,5954,< 100 DM,4 <= employment < 7 years,2,Female: divorced/separated/married,,1,Real estate,41,Bank,Own,2,Unskilled non-resident,1,,Yes
< 0 DM,24,All credits at this bank paid back duly,Furniture / equipment,3552,< 100 DM,4 <= employment < 7 years,3,Male: single,,4,Car or other (not savings),27,Bank,Own,1,Skilled,1,,Yes
>= 200 DM / salary assigned >= 1 year,24,Critical account / other credits existing,Business,1275,>= 1000 DM,1 <= employment < 4 years,2,Male: divorced/separated,,4,Real estate,36,,Own,2,Skilled,1,"Yes, registered",Yes
< 0 DM,24,Existing credits paid back duly till now,Furniture / equipment,4169,< 100 DM,1 <= employment < 4 years,4,Male: single,,4,Building society savings / life insurance,28,,Own,1,Skilled,1,,Yes
No checking account,60,Existing credits paid back duly till now,Car (new),6527,Unknown / no savings,1 <= employment < 4 years,4,Male: single,,4,Unknown / no property,34,,For free,1,Skilled,2,"Yes, registered",Yes
< 0 DM,24,All credits at this bank paid back duly,Car (used),3632,< 100 DM,1 <= employment < 4 years,1,Female: divorced/separated/married,Guarantor,4,Car or other (not savings),22,Bank,Rent,1,Skilled,1,,No
< 0 DM,12,Existing credits paid back duly till now,Car (new),3651,>= 1000 DM,1 <= employment < 4 years,1,Male: single,,3,Building society savings / life insurance,31,,Own,1,Skilled,2,,Yes
0 <= balance < 200 DM,36,Critical account / other credits existing,Radio / television,2337,< 100 DM,>= 7 years,4,Male: single,,4,Real estate,36,,Own,1,Skilled,1,,Yes
0 <= balance < 200 DM,18,Existing credits paid back duly till now,Business,1913,>= 1000 DM,< 1 year,3,Male: married/widowed,,3,Real estate,36,Bank,Own,1,Skilled,1,"Yes, registered",Yes
0 <= balance < 200 DM,8,Existing credits paid back duly till now,Radio / television,1414,< 100 DM,1 <= employment < 4 years,4,Male: single,Guarantor,2,Real estate,33,,Own,1,Skilled,1,,No
< 0 DM,24,Critical account / other credits existing,Car (used),2957,< 100 DM,>= 7 years,4,Male: single,,4,Building society savings / life insurance,63,,Own,2,Skilled,1,"Yes, registered",Yes
>= 200 DM / salary assigned >= 1 year,21,Existing credits paid back duly till now,Car (new),2923,100 <= savings < 500 DM,1 <= employment < 4 years,1,Female: divorced/separated/married,,1,Car or other (not savings),28,Bank,Own,1,Highly skilled,1,"Yes, registered",Yes
No checking account,12,Existing credits paid back duly till now,Car (used),4675,Unknown / no savings,< 1 year,1,Female: divorced/separated/married,,4,Car or other (not savings),20,,Rent,1,Skilled,1,,Yes
No checking account,9,Critical account / other credits existing,Car (new),2134,< 100 DM,1 <= employment < 4 years,4,Male: single,,4,Car or other (not savings),48,,Own,3,Skilled,1,"Yes, registered",Yes
No checking account,11,Existing credits paid back duly till now,Business,2142,>= 1000 DM,>= 7 years,1,Male: divorced/separated,,2,Real estate,28,,Own,1,Skilled,1,"Yes, registered",Yes
>= 200 DM / salary assigned >= 1 year,21,Critical account / other credits existing,Education,2319,< 100 DM,< 1 year,2,Male: divorced/separated,,1,Car or other (not savings),33,,Rent,1,Skilled,1,,Yes
< 0 DM,18,Critical account / other credits existing,Furniture / equipment,1049,< 100 DM,< 1 year,4,Female: divorced/separated/married,,4,Building society savings / life insurance,21,,Rent,1,Skilled,1,,Yes
>= 200 DM / salary assigned >= 1 year,12,Critical account / other credits existing,Car (new),939,500 <= savings < 1000 DM,4 <= employment < 7 years,4,Male: married/widowed,,2,Real estate,28,,Own,3,Skilled,1,"Yes, registered",Yes
No checking account,18,Existing credits paid back duly till now,Car (new),6761,Unknown / no savings,1 <= employment < 4 years,2,Male: single,,4,Car or other (not savings),68,,Rent,2,Skilled,1,,Yes
< 0 DM,15,Critical account / other credits existing,Furniture / equipment,1478,< 100 DM,>= 7 years,4,Male: single,,4,Car or other (not savings),44,,Own,2,Skilled,2,"Yes, registered",Yes
0 <= balance < 200 DM,12,Existing credits paid back duly till now,Car (new),6078,< 100 DM,4 <= employment < 7 years,2,Male: single,,2,Car or other (not savings),32,,Own,1,Skilled,1,,Yes
No checking account,18,Existing credits paid back duly till now,Business,1568,100 <= savings < 500 DM,1 <= employment < 4 years,3,Female: divorced/separated/married,,4,Building society savings / life insurance,24,,Rent,1,Unskilled non-resident,1,,Yes
No checking account,18,Critical account / other credits existing,Radio / television,1098,< 100 DM,Unemployed,4,Female: divorced/separated/married,,4,Car or other (not savings),65,,Own,2,Unemployed / unskilled resident,1,,Yes
< 0 DM,33,Critical account / other credits existing,Furniture / equipment,4281,500 <= savings < 1000 DM,1 <= employment < 4 years,1,Female: divorced/separated/married,,4,Car or other (not savings),23,,Own,2,Skilled,1,,Yes
No checking account,18,Existing credits paid back duly till now,Radio / television,1453,< 100 DM,< 1 year,3,Female: divorced/separated/married,,1,Real estate,26,,Own,1,Skilled,1,,Yes
No checking account,4,Critical account / other credits existing,Radio / television,1503,< 100 DM,4 <= employment < 7 years,2,Male: single,,1,Real estate,42,,Own,2,Unskilled non-resident,2,,Yes
No checking account,39,Existing credits paid back duly till now,Car (used),8588,100 <= savings < 500 DM,>= 7 years,4,Male: single,,2,Car or other (not savings),45,,Own,1,Highly skilled,1,"Yes, registered",Yes
No checking account,18,Existing credits paid back duly till now,Furniture / equipment,3422,< 100 DM,>= 7 years,4,Male: single,,4,Building society savings / life insurance,47,Bank,Own,3,Skilled,2,"Yes, registered",Yes
No checking account,13,Existing credits paid back duly till now,Radio / television,1409,100 <= savings < 500 DM,Unemployed,2,Female: divorced/separated/married,,4,Real estate,64,,Own,1,Skilled,1,,Yes
No checking account,12,Critical account / other credits existing,Furniture / equipment,3331,< 100 DM,>= 7 years,2,Male: single,,4,Building society savings / life insurance,42,Stores,Own,1,Skilled,1,,Yes
No checking account,24,Critical account / other credits existing,Car (used),4042,Unknown / no savings,4 <= employment < 7 years,3,Male: single,,4,Building society savings / life insurance,43,,Own,2,Skilled,1,"Yes, registered",Yes
0 <= balance < 200 DM,6,Existing credits paid back duly till now,Radio / television,1068,< 100 DM,>= 7 years,4,Male: single,,4,Car or other (not savings),28,,Own,1,Skilled,2,,Yes
>= 200 DM / salary assigned >= 1 year,12,Existing credits paid back duly till now,Radio / television,3399,Unknown / no savings,>= 7 years,2,Male: single,,3,Car or other (not savings),37,,Own,1,Highly skilled,1,,Yes
No checking account,18,Existing credits paid back duly till now,Repairs,1943,< 100 DM,< 1 year,4,Female: divorced/separated/married,,4,Real estate,23,,Own,1,Skilled,1,,Yes
No checking account,30,Critical account / other credits existing,Radio / television,5954,< 100 DM,4 <= employment < 7 years,3,Male: single,Co-applicant,2,Car or other (not savings),38,,Own,1,Skilled,1,,Yes
>= 200 DM / salary assigned >= 1 year,9,Existing credits paid back duly till now,Radio / television,745,< 100 DM,1 <= employment < 4 years,3,Female: divorced/separated/married,,2,Real estate,28,,Own,1,Unskilled non-resident,1,,Yes
>= 200 DM / salary assigned >= 1 year,24,Critical account / other credits existing,Furniture / equipment,3617,Unknown / no savings,>= 7 years,4,Male: single,Co-applicant,4,Unknown / no property,20,,Rent,2,Skilled,1,,Yes
0 <= balance < 200 DM,21,Critical account / other credits existing,Business,3652,< 100 DM,4 <= employment < 7 years,2,Male: single,,3,Building society savings / life insurance,27,,Own,2,Skilled,1,,Yes
< 0 DM,18,Existing credits paid back duly till now,Car (new),976,< 100 DM,< 1 year,1,Female: divorced/separated/married,,2,Car or other (not savings),23,,Own,1,Unskilled non-resident,1,,Yes
< 0 DM,28,Existing credits paid back duly till now,Car (new),4006,< 100 DM,1 <= employment < 4 years,3,Male: single,,2,Car or other (not savings),45,,Own,1,Unskilled non-resident,1,,Yes
0 <= balance < 200 DM,54,No credits taken / all credits paid back duly,Business,15945,< 100 DM,< 1 year,3,Male: single,,4,Unknown / no property,58,,Rent,1,Skilled,1,"Yes, registered",Yes
< 0 DM,6,Critical account / other credits existing,Furniture / equipment,3384,< 100 DM,1 <= employment < 4 years,1,Male: divorced/separated,,4,Real estate,44,,Rent,1,Highly skilled,1,"Yes, registered",Yes
No checking account,9,Critical account / other credits existing,Education,936,500 <= savings < 1000 DM,>= 7 years,4,Male: single,,2,Car or other (not savings),52,,Own,2,Skilled,1,"Yes, registered",Yes
No checking account,6,Existing credits paid back duly till now,Furniture / equipment,4611,< 100 DM,< 1 year,1,Female: divorced/separated/married,,4,Building society savings / life insurance,32,,Own,1,Skilled,1,,Yes
< 0 DM,24,Existing credits paid back duly till now,Furniture / equipment,7721,Unknown / no savings,< 1 year,1,Female: divorced/separated/married,,2,Building society savings / life insurance,30,,Own,1,Skilled,1,"Yes, registered",No
No checking account,18,Delay in paying off in the past,Business,2169,< 100 DM,1 <= employment < 4 years,4,Male: married/widowed,,2,Car or other (not savings),28,,Own,1,Skilled,1,"Yes, registered",Yes
No checking account,36,Critical account / other credits existing,Car (used),5711,>= 1000 DM,>= 7 years,4,Male: single,,2,Car or other (not savings),38,,Own,2,Highly skilled,1,"Yes, registered",Yes
< 0 DM,12,Existing credits paid back duly till now,Domestic appliances,741,100 <= savings < 500 DM,Unemployed,4,Female: divorced/separated/married,,3,Building society savings / life insurance,22,,Own,1,Skilled,1,,Yes
No checking account,6,Critical account / other credits existing,Car (new),2080,500 <= savings < 1000 DM,1 <= employment < 4 years,1,Male: married/widowed,,2,Car or other (not savings),24,,Own,1,Skilled,1,,Yes
No checking account,36,Delay in paying off in the past,Radio / television,4454,< 100 DM,1 <= employment < 4 years,4,Female: divorced/separated/married,,4,Real estate,34,,Own,2,Skilled,1,,Yes
0 <= balance < 200 DM,45,Critical account / other credits existing,Radio / television,4746,< 100 DM,< 1 year,4,Male: single,,2,Building society savings / life insurance,25,,Own,2,Unskilled non-resident,1,,Yes
< 0 DM,24,Existing credits paid back duly till now,Car (used),6579,< 100 DM,Unemployed,4,Male: single,,2,Unknown / no property,29,,For free,1,Highly skilled,1,"Yes, registered",Yes
0 <= balance < 200 DM,12,Existing credits paid back duly till now,Furniture / equipment,1922,< 100 DM,1 <= employment < 4 years,4,Male: single,,2,Building society savings / life insurance,37,,Own,1,Unskilled non-resident,1,,Yes
No checking account,21,Existing credits paid back duly till now,Furniture / equipment,2241,< 100 DM,>= 7 years,4,Male: single,,2,Real estate,50,,Own,2,Skilled,1,,Yes
